Tercer semestre: 2021-20	
FISI 1528, 26: Física 2	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
FISI 1029, 04: Física Experimental 2	4.62	92.40%	20.00%	0.60
Complementaria FISI 1528, 26: Física 2	5.00	100.00%	20.00%	0.60
Quiz de opción múltiple semana 2	3.75	75.00%	3.33%	0.10
Quiz de opción múltiple semana 3	5.00	100.00%	3.33%	0.10
Quiz de opción múltiple semana 5	3.75 (Anulado para todos)		0.00%	0.00
Quiz de opción múltiple semana 6	5.00	100.00%	3.33%	0.10
Examen parcial 1 (asincrónico)	5.00	100.00%	5.00%	0.15
Quiz de opción múltiple semana 7	5.00	100.00%	3.33%	0.10
Quiz de opción múltiple semana 9	2.50 (Peor quiz no cuenta)		0.00%	0.00
Quiz de opción múltiple semana 10	5.00	100.00%	3.33%	0.10
Examen parcial 2 (sincrónico)	3.85	77.00%	5.00%	0.15
Quiz de opción múltiple semana 11	5.00	100.00%	3.33%	0.10
Examen parcial 3 (asincrónico)	4.90	98.00%	5.00%	0.15
Examen parcial 4 (asincrónico)	5.00	100.00%	5.00%	0.15
Examen final	4.25	85.00%	20.00%	0.60
Nota final	4.67	93.40%	100.00%	3.00
Nota final con aproximación a la milésima	4.67	93.40%	100.00%	
Máxima nota final alcanzable a la fecha	4.67	93.40%	100.00%	
Mínima nota final alcanzable a la fecha	4.67	93.40%	100.00%	
				
Complementaria FISI 1528, 26: Física 2	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Taller tarea 00: Calentamiento	4.80	96.00%	3.88%	0.02
Taller tarea 01: Temperatura y calor	8.17	163.44%	2.33%	0.01
Taller tarea 02: Gases ideales	6.25	125.00%	3.11%	0.02
Taller tarea 03: Primera ley de la termodinámica	5.29	105.76%	2.72%	0.02
Taller tarea 04: Dirección de procesos termodinámicos	6.33	126.66%	2.33%	0.01
Taller tarea 05: Máquinas Térmicas	7.43	148.67%	2.72%	0.02
Taller tarea 06: Campo y Fuerza Eléctrica	5.78	115.67%	3.50%	0.02
Taller tarea 07: Dipolos Eléctricos y Ley de Gauss	4.38	87.65%	3.11%	0.02
Taller tarea 08: Potencial Eléctrico	4.66	93.21%	3.50%	0.02
Taller tarea 09: Potencial Eléctrico en Distribuciones de Carga	6.63	132.65%	3.11%	0.02
Taller tarea 10: Capacitancias y Materiales Dieléctricos	7.43	148.53%	2.72%	0.02
Taller tarea 11: Resistividad, Circuitos Capacitivos y Resistivos	5.44	108.86%	3.50%	0.02
Taller tarea 12: Leyes de Kirchhoff, Circuitos RC y Fuerza de Lorentz	5.54	110.86%	3.50%	0.02
Taller tarea 13:	No se realizó		0.00%	0.00
Quiz previo a clase 1, semana 2: Temperatura y calor	5.00	100.00%	5.12%	0.03
Quiz previo a clase 2, semana 3: Gases ideales	5.00	100.00%	3.07%	0.02
Quiz previo a clase 3, semana 5: Máquinas térmicas y refrigeradores	4.14	82.80%	3.58%	0.02
Quiz previo a clase 4, semana 7	4.58	91.60%	3.68%	0.02
Quiz previo a clase 5, semana 9	3.83	76.60%	3.07%	0.02
Quiz repaso Termodinámica	5.00	100.00%	3.07%	0.02
Quiz mecánica	4.00	80.00%	2.05%	0.01
Quiz de repaso electro	5.00	100.00%	6.14%	0.04
Simulacro examen final	3.50	70.00%	10.23%	0.06
Preparcial 1	4.80	96.00%	7.14%	0.04
Preparcial 2	5.00	100.00%	7.14%	0.04
Preparcial 3	5.00	100.00%	5.71%	0.03
Preparcial 4	No se realizó		0.00%	0.00
Nota final con posible excedente	5.09	101.74%	100.00%	0.60
Nota final	5.00	100.00%	100.00%	
				
FISI 1029, 04: Física Experimental 2	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Laboratorio 1: Dilatación térmica de sólidos	4.70	94.00%	7.69%	0.05
Laboratorio 2: Dilatación térmica del agua.	4.40	88.00%	7.69%	0.05
Laboratorio 3: Calor latente del agua.	4.90	98.00%	7.69%	0.05
Laboratorio 4: Calor específico de sólidos.	4.55	91.00%	7.69%	0.05
Laboratorio 5: Gas ideal.	4.90	98.00%	7.69%	0.05
Laboratorio 6: Motor térmico.	4.70	94.00%	7.69%	0.05
Laboratorio 7: Equivalente mecánico del calor.	4.70	94.00%	7.69%	0.05
Laboratorio 8: Fuerzas y carga eléctrica.	4.25	85.00%	7.69%	0.05
Laboratorio 9: Ley de Ohm.	4.40	88.00%	7.69%	0.05
Laboratorio 10: Equivalente eléctrico del calor	4.00	80.00%	7.69%	0.05
Laboratorio 11: Analizando circuitos RC.	4.70	94.00%	7.69%	0.05
Laboratorio 12: Fuerza magnética.	5.00	100.00%	7.69%	0.05
Laboratorio 13: Inducción electromagnética.	4.80	96.00%	7.69%	0.05
Nota final	4.62	92.31%	100.00%	1.20
Nota final con aproximación a la milésima	4.62	92.40%	100.00%	
				
				
FISI 2526, 01: Métodos Computacionales 1	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Complementaria FISI 2526, 01: Métodos Computacionales 1	5.00	100.00%	25.00%	0.75
Semana 2: Animación en Python	5.00	100.00%	6.25%	0.19
Semana 3: Derivación - Campo eléctrico	4.00	80.00%	0.00%	0.00
Semana 4: Interpolación por Newton-Gregory para puntos no equiespaciados	5.00	100.00%	6.25%	0.19
Semana 5: Cuadratura gaussiana y de Gauss-Laguerre	5.00	100.00%	6.25%	0.19
Bono Semana 5: Cuadratura Gauss-Hermite	+ 0.25 en Semana 3			0.00
